Problem:    tsp
Rows:       196
Columns:    312 (156 integer, 156 binary)
Non-zeros:  1092
Status:     INTEGER OPTIMAL
Objective:  total = 383 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 total                     383                             
   144 cap[10,9]                   0                          -0 
   145 cap[10,11]                  0                          -0 
   146 cap[10,12]                  0                          -0 
   147 cap[10,13]                -11                          -0 
   148 cap[11,1]                   0                          -0 
   149 cap[11,2]                   0                          -0 
   150 cap[11,3]                   0                          -0 
   151 cap[11,4]                   0                          -0 
   152 cap[11,5]                   0                          -0 
   153 cap[11,6]                   0                          -0 
   154 cap[11,7]                   0                          -0 
   155 cap[11,8]                   0                          -0 
   156 cap[11,9]                   0                          -0 
   157 cap[11,10]                  0                          -0 
   158 cap[11,12]                 -3                          -0 
   159 cap[11,13]                  0                          -0 
   160 cap[12,1]                   0                          -0 
   161 cap[12,2]                  -4                          -0 
   162 cap[12,3]                   0                          -0 
   163 cap[12,4]                   0                          -0 
   164 cap[12,5]                   0                          -0 
   165 cap[12,6]                   0                          -0 
   166 cap[12,7]                   0                          -0 
   167 cap[12,8]                   0                          -0 
   168 cap[12,9]                   0                          -0 
   169 cap[12,10]                  0                          -0 
   170 cap[12,11]                  0                          -0 
   171 cap[12,13]                  0                          -0 
   172 cap[13,1]                 -12                          -0 
   173 cap[13,2]                   0                          -0 
   174 cap[13,3]                   0                          -0 
   175 cap[13,4]                   0                          -0 
   176 cap[13,5]                   0                          -0 
   177 cap[13,6]                   0                          -0 
   178 cap[13,7]                   0                          -0 
   179 cap[13,8]                   0                          -0 
   180 cap[13,9]                   0                          -0 
   181 cap[13,10]                  0                          -0 
   182 cap[13,11]                  0                          -0 
   183 cap[13,12]                  0                          -0 
   184 node[1]                   -12           -12             = 
   185 node[2]                     1             1             = 
   186 node[3]                     1             1             = 
   187 node[4]                     1             1             = 
   188 node[5]                     1             1             = 
   189 node[6]                     1             1             = 
   190 node[7]                     1             1             = 
   191 node[8]                     1             1             = 
   192 node[9]                     1             1             = 
   193 node[10]                    1             1             = 
   194 node[11]                    1             1             = 
   195 node[12]                    1             1             = 
   196 node[13]                    1             1             = 

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[1,2]       *              0             0             1 
     2 x[1,3]       *              0             0             1 
     3 x[1,4]       *              0             0             1 
     4 x[1,5]       *              1             0             1 
     5 x[1,6]       *              0             0             1 
     6 x[1,7]       *              0             0             1 
     7 x[1,8]       *              0             0             1 
     8 x[1,9]       *              0             0             1 
     9 x[1,10]      *              0             0             1 
    10 x[1,11]      *              0             0             1 
    11 x[1,12]      *              0             0             1 
    12 x[1,13]      *              0             0             1 
    13 x[2,1]       *              0             0             1 
    14 x[2,3]       *              0             0             1 
    15 x[2,4]       *              0             0             1 
    16 x[2,5]       *              0             0             1 
    17 x[2,6]       *              0             0             1 
    18 x[2,7]       *              0             0             1 
    19 x[2,8]       *              0             0             1 
    20 x[2,9]       *              1             0             1 
    21 x[2,10]      *              0             0             1 
    22 x[2,11]      *              0             0             1 
